hsv_mean_h,hsv_mean_s,hsv_mean_v,hsv_std_h,hsv_std_s,hsv_std_v,hog_mean,hog_std,hog_max,glcm_contrast_0,glcm_contrast_90,glcm_correlation_0,glcm_correlation_90,glcm_energy_0,glcm_energy_90,glcm_homogeneity_0,glcm_homogeneity_90,target_label
71.38555908,11.96607971,111.5367432,61.07226805,10.77112976,27.47326624,0.094072282,0.109470266,0.494647673,4.003691789,1.817463235,0.997306199,0.998774217,0.072587774,0.079089667,0.728402326,0.760514573,haze
123.138031,60.02185059,145.2823944,8.094362093,17.33771393,30.24649222,0.112666549,0.090219632,0.469117409,96.88956801,44.00727635,0.953907677,0.979000796,0.049020404,0.060015192,0.462331136,0.561868393,haze
45.14164734,34.47312927,141.7352448,21.89241079,37.75283716,64.27186815,0.10819257,0.095539003,0.429129559,57.81729473,71.19463848,0.99283803,0.991134066,0.036628485,0.03737078,0.509586807,0.525876388,haze
33.00137329,5.322982788,172.9754639,37.34074171,5.025023478,24.60712246,0.092412153,0.110875278,0.573628599,1.451041667,2.172503064,0.998864863,0.998291981,0.109819064,0.097911407,0.821556258,0.748741096,haze
107.7795868,7.994155884,174.224762,27.1850386,6.03942224,38.09824065,0.105688746,0.09830169,0.345562555,9.553707108,14.32532169,0.996747577,0.99509969,0.070758575,0.072000419,0.629030827,0.611778329,haze
106.5311737,51.20002747,182.5641327,4.261108802,13.0970818,37.41531422,0.113175373,0.089580513,0.464981046,13.31234681,9.297503064,0.994889567,0.996434346,0.041332067,0.050004133,0.514709144,0.624436484,haze
0,0,182.032196,0,0,51.90752141,0.103989288,0.100097759,0.364206991,64.54488358,32.36204044,0.988005055,0.993923433,0.060192664,0.056012175,0.680921905,0.636124246,haze
62.50614929,4.323348999,140.3520203,65.03653729,7.012356246,23.43912328,0.096672868,0.107180642,0.491109667,17.07043505,20.72101716,0.985550358,0.982441885,0.089643983,0.08775521,0.655733002,0.644019592,haze
49.72525024,19.86753845,173.2628326,23.47090811,7.086974391,41.28496826,0.111774472,0.091322509,0.353657833,10.41721814,8.908026961,0.996971195,0.997400043,0.04664609,0.047230778,0.613111165,0.615519811,haze
50.13763428,12.240448,167.1140594,39.57533951,13.80717042,39.03977198,0.113610312,0.089028256,0.387812199,9.892478554,9.721032475,0.996945391,0.996976273,0.068874235,0.068279839,0.605441465,0.581202094,haze
52.02062988,9.855361938,173.9268036,48.88080722,12.60800869,41.77709737,0.107242166,0.096604613,0.613430054,18.10251225,16.59122243,0.995082751,0.995438903,0.048917412,0.049275095,0.577985515,0.555106239,haze
43.35848999,19.62924194,141.7395782,22.36997738,13.72516696,55.80667427,0.106836294,0.097053282,0.436414994,15.27037377,5.340042892,0.99756464,0.999145381,0.04293867,0.04218017,0.643730178,0.641047495,haze
122.0187531,21.98155212,155.9107971,3.777244684,9.746967096,33.28143076,0.098004917,0.105964001,0.464671669,44.06992953,33.22037377,0.979488469,0.984430442,0.068047898,0.063603682,0.720095127,0.699225929,haze
49.65365601,6.233703613,149.7137299,47.10805519,15.08743671,22.80067996,0.117440992,0.08391035,0.402703361,38.0592065,22.45776654,0.965969141,0.97984761,0.074101382,0.077685015,0.43737768,0.510572943,haze
31.75035095,3.418838501,127.5452271,45.69133002,4.913510225,23.70106104,0.106548935,0.09736867,0.532902232,41.34206495,27.63074449,0.962572739,0.975115979,0.057819267,0.063598373,0.620531633,0.680692559,haze
57.37162781,16.06513977,135.8467102,16.94868624,4.283913188,48.10275175,0.102674539,0.101445908,0.672389233,79.51706495,55.23512561,0.982627436,0.987917996,0.087961077,0.091088634,0.534486364,0.574937144,haze
39.87731934,16.69221497,140.1108398,29.93439728,15.9921258,56.33153337,0.098253323,0.105733712,0.618358696,55.84352022,40.10389093,0.990672098,0.993276449,0.054064913,0.052235536,0.683498019,0.626535128,haze
103.2683105,36.9989624,140.0339203,4.000167895,16.44452006,13.58824736,0.092848651,0.110510006,0.620082664,24.10344669,1.256541054,0.946302819,0.997294381,0.106488871,0.107770211,0.754952801,0.80681505,haze
